59962,504
59944,423
59920,447
59943,424
59938,429
60173,392
59931,436
59956,510
59854,519
59878,543
59869,534
59879,544
59929,438
59976,490
59903,463
59860,525
59909,457
59973,493
59964,502
60178,387
59999,467
59978,488
59904,462
59873,538
59898,563
60156,409
59876,541
59867,532
59927,440
59947,420
59875,540
59974,492
59959,507
59930,437
59890,555
59881,546
59870,535
59926,44
59900,565
59923,444
59874,539
59979,487
59984,482
57457,204
60119,292
59967,499
59992,474
59853,518
60025,242
59971,495
59857,522
59880,545
59868,533
59997,469
59911,455
59887,552
59998,468
59872,537
59968,498
59866,531
59961,505
59991,475
59985,481
59980,486
59871,536
59977,489
59932,435
59885,550
59935,432
59942,425
59888,553
59905,461
59946,421
59915,452
60023,257
59855,520
59922,445
59912,454
57443,117
59914,453
59908,458
59983,483
59893,558
59941,426
59951,515
59865,530
59919,448
59918,449
59901,465
60056,345
57574,33
59906,460
59852,517
59966,500
59939,428
59895,560
59955,511
59954,512
59894,559
59916,451
59877,542
59892,557
59996,470
59882,547
60108,353
59950,417
59972,494
59952,514
59958,508
60152,413
59896,561
59913,441
59937,430
59883,548
60170,395
59963,503
59993,473
60104,357
59988,478
59957,509
57600,58
60077,324
60182,383
59899,564
59990,476
59886,551
59975,491
59933,434
59934,433
59884,549
60165,400
59921,446
60190,375
60035,226
59910,456
59924,443
59940,427
59928,439
59902,464
59965,501
59960,506
59987,479
57484,177
59889,554
60059,342
59994,472
59986,480
59995,471
59861,526
59969,497
59856,521
60052,349
60026,240
59925,442
60000,466
60174,391
59981,485
60048,213
60154,411
60081,320
57408,153
60197,368
57555,14
59982,484
